# Launch Canada 2024 Drag Coefficients

# Simulation 6 (Up to date)
# 1324 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (125 ft/s)
#
# Drag force (N),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
152.415,NaN
152.342,NaN
152.177,NaN
152.173,NaN
152.362,NaN
152.153,NaN
152.214,NaN
152.229,NaN
152.203,NaN
152.209,NaN
152.252,NaN
152.299,NaN
152.268,NaN
152.456,NaN
152.215,NaN
152.219,NaN
152.205,NaN
152.207,NaN
152.308,NaN
152.205,NaN
152.262,NaN
152.2,NaN
152.35,NaN
152.199,NaN
152.193,NaN
152.242,NaN
152.208,NaN
152.472,NaN
152.212,NaN
152.213,NaN
152.232,NaN
152.208,NaN
152.244,NaN
152.189,NaN
152.25,NaN
152.183,NaN
152.21,NaN
152.186,NaN
152.205,NaN
152.365,NaN
152.238,NaN
152.226,NaN
152.158,NaN
152.176,NaN
152.182,NaN
152.203,NaN
152.236,NaN
152.4,NaN
152.185,NaN
152.366,NaN
152.232,NaN
152.248,NaN
152.256,NaN
152.298,NaN
152.167,NaN
152.194,NaN
152.556,NaN
152.147,NaN
152.625,NaN
152.108,NaN
152.18,NaN
152.18,NaN
152.163,NaN
152.264,NaN
152.184,NaN
152.205,NaN
152.216,NaN
152.348,NaN
152.282,NaN
152.15,NaN
152.332,NaN
152.221,NaN
152.54,NaN
152.111,NaN
152.172,NaN
152.142,NaN
152.461,NaN
152.252,NaN
152.157,NaN
152.138,NaN
152.155,NaN
152.268,NaN
152.537,NaN
152.104,NaN
152.168,NaN
152.189,NaN
152.255,NaN
152.196,NaN
152.184,NaN
152.22,NaN
152.252,NaN
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=152.129 seconds
152.208,NaN
3582.951,NaN
3444.849,NaN
3386.976,NaN
3330.598,NaN
3275.663,NaN
3222.122,NaN
3169.929,NaN
3119.038,NaN
3069.407,NaN
3020.994,NaN
2973.759,NaN
2927.665,NaN
2882.675,NaN
2838.753,NaN
2795.868,NaN
2753.985,NaN
2713.074,NaN
2673.105,NaN
2634.05,NaN
2595.88,NaN
2558.569,NaN
2522.116,NaN
2486.479,NaN
2451.626,NaN
2417.535,NaN
2384.183,NaN
2351.549,NaN
2319.613,NaN
2288.354,NaN
2257.755,NaN
2227.796,NaN
2198.46,NaN
2169.729,NaN
2141.588,NaN
2114.019,NaN
2087.008,NaN
